energy,tempo,danceability,loudness,liveness,valence,instrumentalness,speechiness,acousticness,track_popularity,track_name,track_artist,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,mode,key
0.106,105.651,0.165,-21.742,0.105,0.0336,0.782,0.039,0.807,44,Khachaturian: Spartacus Suite No. 2: I. Adagio of Spartacus and Phrygia,"Aram Khachaturian, London Symphony Orchestra",Khachaturian: Spartacus and Gayaneh highlights etc,2007-07-02,classical,essential,1.0,8.0
0.246,109.766,0.292,-14.96,0.107,0.0859,0.525,0.0385,0.922,45,Prince Igor (Knyaz Igor): Act II: Polovtsian Dances - Ulyetay na kril'yahk vyetra (Fly away on the wings of the wind) (version for chorus),"Alexander Borodin, Angelina Shvachka, Dmytro Popov, Mykola Koval, Taras Shtonda, Mykola Hobdych, Kiev Chamber Choir, Ukraine National Radio Symphony Orchestra, Theodore Kuchar",Borodin: Prince Igor (Highlights) / In the Steppes of Central Asia,2005-08-01,classical,essential,1.0,2.0
0.0175,56.479,0.114,-33.957,0.12,0.0928,0.846,0.0434,0.923,43,"Pelléas et Mélisande Suite, Op. 80: III. Sicilienne. Allegretto molto moderato","Gabriel Fauré, Berliner Philharmoniker, Daniel Barenboim","Fauré: Pelléas et Mélisande Suite, Op. 80: III. Sicilienne. Allegretto molto moderato",2024-08-23,classical,essential,1.0,3.0
0.0113,111.541,0.466,-34.2,0.0924,0.486,0.0257,0.0443,0.939,46,"String Quintet in E Major, G. 275: III. Menuetto","Luigi Boccherini, Orpheus Chamber Orchestra",Classical Hits,1993-01-01,classical,essential,1.0,9.0
0.0287,76.618,0.154,-26.958,0.131,0.0386,0.896,0.0365,0.984,43,Piano Concerto in One Movement: Adagio cantabile,"Florence Beatrice Price, Jeneba Kanneh-Mason, Chineke! Orchestra, Leslie Suganandarajah",Price: Piano Concerto in One Movement: Adagio cantabile,2023-04-28,classical,essential,1.0,2.0
0.0176,125.793,0.491,-26.911,0.0985,0.0901,0.927,0.0644,0.994,55,"Ravel: Pavane pour une infante défunte, M. 19","Maurice Ravel, Bertrand Chamayou",Ravel: Complete Works for Solo Piano,2016-01-15,classical,essential,0.0,4.0
0.135,94.404,0.25,-18.615,0.0477,0.179,0.0349,0.0488,0.958,48,"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso","César Franck, Joshua Bell, Jeremy Denk",French Impressions,2012-01-06,classical,essential,1.0,9.0
0.0525,88.316,0.205,-23.841,0.103,0.0511,0.906,0.0327,0.98,53,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile","Sergei Rachmaninoff, Daniil Trifonov, Philadelphia Orchestra, Yannick Nézet-Séguin",Rachmaninov Variations,2015-08-28,classical,essential,1.0,1.0
0.006,71.477,0.176,-42.238,0.105,0.0383,3.24e-05,0.0384,0.899,47,Spiegel im Spiegel - Version for Violin and Piano,"Arvo Pärt, Vladimir Spivakov, Sergej Bezrodny",Arvo Pärt: Alina,1999-10-15,classical,essential,1.0,5.0
0.0354,73.968,0.1,-17.211,0.125,0.0426,0.865,0.0387,0.901,38,"Symphony No. 8 in B Minor, D. 759 ""Unfinished"": I. Allegro moderato","Franz Schubert, Wiener Philharmoniker, Josef Krips","Schubert: Symphony No.8 ""Unfinished""; Symphony No.9 ""Great""",1997-01-01,classical,essential,0.0,11.0
